FID,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato,wkb_geometry
parkomat.1440,1527,9034,Betalingsautomat,8608,Grøn,IB,Øster Søgade,80,Husmur,2000182,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.575868448805698 55.69372423704128)
parkomat.1441,1537,9036,Betalingsautomat,3832,Rød,IB,Kompagnistræde,24,Husmur,2000178,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.574722585380915 55.67683535372754)
parkomat.1442,1538,9037,Betalingsautomat,5116,,IB,Ny Kongensgade,3,,,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.576881728445956 55.67389566469408)
parkomat.1443,1548,9041,,0024,Grøn,IB,Adelgade,16,,,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.583471612216355 55.683624098501646)
parkomat.1444,1820,9043,P-info,3736,Grøn,IB,Klerkegade,,Husmur,2000166,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.58337438960486 55.68698797767995)
parkomat.1445,1784,9050,P-info,1246,Grøn,IØ,Dampfærgevej,6,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.594392336212422 55.69634137884741)
parkomat.1446,1783,9052,Betalingsautomat,1246,Grøn,IØ,Dampfærgevej,10,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.594483804377028 55.697141958064826)
parkomat.1447,1824,9053,P-info,1246,Grøn,IØ,Dampfærgevej,,Øvrige,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.594513199022348 55.69783103647146)
parkomat.1448,1781,9054,Betalingsautomat,4143,Grøn,IØ,Langelinie Allé,4,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.599886812866178 55.69619892382017)
parkomat.1449,1780,9055,P-info,4143,Grøn,IØ,Langelinie Allé,26,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.600045063471768 55.69709505792385)
parkomat.1450,1779,9060,Betalingsautomat,4143,Grøn,IØ,Langelinie Allé,50,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.600212839533961 55.69812655769688)
parkomat.1451,1782,9061,Betalingsautomat,4745,Grøn,IØ,Midtermolen,OF/2,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.597007834600037 55.6956648828789)
parkomat.1452,1822,9062,P-info,4143,Grøn,IØ,Langelinie Allé,,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.600357345638434 55.699284909690725)
parkomat.1453,1821,9063,Betalingsautomat,4143,Grøn,IØ,Langelinie Allé,,Øvrige,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.600467263205937 55.70038745549659)
parkomat.1454,1823,9064,P-info,4745,Grøn,IØ,Midtermolen,,,2000182,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.597474353090213 55.697496360381095)
parkomat.1455,1793,9070,P-info,3266,,IØ,Indiakaj,6,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.595475883082237 55.69533828091869)
parkomat.1456,1792,9071,,3266,Grøn,IK,Indiakaj,16,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.598122803183367 55.69509941564888)
parkomat.1457,1829,9090,P-info,8580,,IØ,Østerbrogade,,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.57721073989101 55.705233602611074)
parkomat.1458,1830,9091,P-info,6988,,YØ,Strandboulevarden,,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.581762959542866 55.70922673099202)
parkomat.1459,1579,9092,Betalingsautomat,8590,,IØ,Østerfælled Torv,6,,,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.577228174864716 55.70590320787213)
parkomat.1460,1818,9094,Betalingsautomat,6988,Blå,IØ,Strandboulevarden,125,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.58340588389107 55.70917208730235)
parkomat.1461,1583,9517,P-info,6260,,VB,Sankt Jørgens Allé,10,,,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559115657511985 55.67406970336394)
parkomat.1462,1561,9518,Betalingsautomat,6260,Grøn,VB,Sankt Jørgens Allé,3,,,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559270165867314 55.67347110657363)
parkomat.1463,1826,9521,P-info,0628,,IN,Blågårdsgade,,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.555810914326289 55.68423300833923)
parkomat.1464,1827,9522,P-info,0628,,IN,Blågårdsgade,,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.555983132213212 55.684247326811814)
parkomat.1465,1828,9523,P-info,0628,,IN,Blågårdsgade,,,,2015-12-05T22:35:33.135,2015-12-07T14:06:19.469,POINT (12.556168711750836 55.68424746307308)
parkomat.1466,1573,9531,Betalingsautomat,8432,,CH,Voldgården,-,,2000153,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.58634121858274 55.67092947511265)
parkomat.1467,1575,9535,Betalingsautomat,3418,Grøn,CH,Johan Semps Gade,7,,,2010-08-03T00:00:00,2015-12-05T22:34:03.462,POINT (12.586786730010108 55.67202991249431)
parkomat.1468,1577,9536,Betalingsautomat,5364,Grøn,CH,Overgaden neden Vandet,7,,,2010-08-03T00:00:00,2015-12-05T22:34:03.462,POINT (12.589146515047211 55.67179116146275)
parkomat.1469,1648,9601,P-info,2814,Blå,IN,Henrik Pontoppidans Vej,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.560326869538029 55.69415269444822)
parkomat.1470,1649,9602,Betalingsautomat,2814,Blå,IN,Henrik Pontoppidans Vej,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.560378774639728 55.69474144460722)
parkomat.1471,1650,9603,P-info,2814,Blå,IN,Henrik Pontoppidans Vej,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.56062395870248 55.695160294964644)
parkomat.1472,1651,9604,P-info,0086,Blå,IN,Alléen,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.559497218955315 55.6948007459266)
parkomat.1473,1652,9605,Betalingsautomat,1430,Blå,IN,Edith Rodes Vej,2,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.5584315191541 55.69522586801798)
parkomat.1474,1653,9606,Betalingsautomat,7390,Blå,IN,Thit Jensens Vej,3,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.559245805350534 55.69553047494756)
parkomat.1475,1655,9607,Betalingsautomat,2590,Blå,IN,Hans Kirks Vej,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.559081793623529 55.69406708107929)
parkomat.1476,1656,9608,P-info,1430,Blå,IN,Edith Rodes Vej,,,2000173,2012-01-27T11:26:25,2015-12-05T22:34:03.462,POINT (12.55828334747505 55.69372021831341)
parkomat.1477,1657,9609,Betalingsautomat,0054,Blå,IN,Agnes Henningsens Vej,5,,2000173,2012-01-27T11:26:25,2013-08-01T00:00:00,POINT (12.557134303540268 55.69391621453699)
parkomat.1478,1699,9610,Betalingsautomat,0716,Grøn,IB,Borgergade,142,,2000166,2012-05-07T11:40:16,2015-12-05T22:34:03.462,POINT (12.588556005570416 55.687482060434604)
parkomat.1479,1698,9611,Betalingsautomat,2188,Grøn,IB,Gernersgade,29,,2000166,2012-05-07T11:40:16,2015-12-05T22:34:03.462,POINT (12.587822618468945 55.68795789703416)
parkomat.1480,1696,9612,,2640,Grøn,IB,Haregade,35,,2000166,2012-05-07T11:40:16,2015-12-05T22:34:03.462,POINT (12.587346007431547 55.68846912676601)
parkomat.1481,1688,9613,P-info,7096,Grøn,IB,Suensonsgade,55,,2000166,2012-05-07T00:00:00,2015-12-05T22:34:03.462,POINT (12.585125087684354 55.68937792717214)
parkomat.1482,1689,9614,Betalingsautomat,7096,Grøn,IB,Suensonsgade,16,,2000166,2012-05-07T00:00:00,2015-12-05T22:34:03.462,POINT (12.588136268561893 55.6887129082938)
parkomat.1483,1691,9615,Betalingsautomat,1512,Grøn,IB,Elsdyrsgade,38,,2000166,2012-05-07T00:00:00,2015-12-05T22:34:03.462,POINT (12.587938760320387 55.689143369672294)
parkomat.1484,1690,9616,Betalingsautomat,3996,Grøn,IB,Kronprinsessegade,-,,2000166,2012-05-07T00:00:00,2015-12-05T22:34:03.462,POINT (12.586730050403077 55.689583376858685)
parkomat.1485,1693,9617,P-info,3984,Grøn,IB,Krokodillegade,-,,2000166,2012-05-07T00:00:00,2015-12-05T22:34:03.462,POINT (12.58805222398043 55.689865999459194)
