FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,wkb_geometry
trafiktaelling.350,848,Vester Farimagsgade / Ved Vesterport,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120417,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n4LAf1ya66.pdf,,,,,,,,POINT (12.561990440940903 55.675411155326664)
trafiktaelling.351,849,Nørre Farimagsgade / Gyldenløvsgade,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160623,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/pXdC4MN7VF.pdf,,,,,,,,POINT (12.563589689660581 55.67965561123459)
trafiktaelling.352,850,Jagtvej - Ågade,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20151103,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/R6smbOwoOF.pdf,,,,,,,,POINT (12.541384434638786 55.68778160397099)
trafiktaelling.353,851,Jagtvej / Borups Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20151103,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1w3QufDJwU.pdf,,,,,,,,POINT (12.542735265495475 55.68898361956357)
trafiktaelling.354,852,Classensgade / Strandboulevarden,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120426,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZyujL1ki80.pdf,,,,,,,,POINT (12.59049118847484 55.6988128853)
trafiktaelling.355,853,Rosenvængets Hovedvej / Strandboulevarden,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120425,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/LAceWdrEWW.pdf,,,,,,,,POINT (12.588469064266896 55.702055809077166)
trafiktaelling.356,854,Nordre Frihavnsgade / Strandboulevarden,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120425,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MFN2lZJBvy.pdf,,,,,,,,POINT (12.587884240469826 55.703431584919485)
trafiktaelling.357,855,Århusgade / Strandboulevarden,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120424,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tw81XydatA.pdf,,,,,,,,POINT (12.586140572788693 55.706739319546124)
trafiktaelling.358,856,Vordingborggade / Strandboulevarden,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120426,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/sftn5I62wp.pdf,,,,,,,,POINT (12.58550075193233 55.707986905824264)
trafiktaelling.359,857,Randersgade / Strandboulevarden,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120424,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gLDyZZMt0d.pdf,,,,,,,,POINT (12.57960682183046 55.709201357559415)
trafiktaelling.360,858,Bangsbovej / Vanløse Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120530,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/73G8zDEy6p.pdf,,,,,,,,POINT (12.497453600933648 55.689537077830416)
trafiktaelling.361,859,Randbølvej / Vanløse Allé,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120530,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Csf4ATbjW2.pdf,,,,,,,,POINT (12.49917324238128 55.690140975852096)
trafiktaelling.364,862,Ved Mønten / Amagerfælledvej,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20121010,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/HXIrE4MhaG.pdf,,,,,,,,POINT (12.595344186070474 55.6674569312642)
trafiktaelling.365,863,Tankstation ved Enghave St,Indkørsler til tankstation på hjørnet af Enghavevej og Sønder Boulevard,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120222,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/2kZAuLfoby.pdf,,,,,,,,POINT (12.5413902635908 55.663366361776795)
trafiktaelling.366,864,H. C. Andersens Boulevard / Vesterbrogade,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120524,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/XseczXSxkI.pdf,,,,,,,,POINT (12.567913081604097 55.67578242062304)
trafiktaelling.367,865,Artillerivej / Ved Slusen,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20120621,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/4QofGzt0Ya.pdf,,,,,,,,POINT (12.563784142634939 55.641846760542876)
trafiktaelling.368,866,Vigerslevvej / Folehaven,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160906,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/YDZpXEg7QT.pdf,,,,,,,,POINT (12.48835411088981 55.65274399871426)
