name,lat,lng,type
Strada Britannico Pizzeria,55.6651469,12.6060408,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Scandinavian Coffee,55.66433,12.604735,"['food', 'point_of_interest', 'establishment']"
Københavns Komm Intgr. Inst. 6-14 År,55.66394990000001,12.603655,"['point_of_interest', 'establishment']"
Ironman Denmark ApS,55.66394990000001,12.603655,"['gym', 'health', 'point_of_interest', 'establishment']"
Værkstedshuset I Hannovergade,55.6637499,12.6040321,"['point_of_interest', 'establishment']"
Amager Massage og Zoneterapi,55.6644825,12.6038772,"['point_of_interest', 'establishment']"
Top Klip,55.6643914,12.6034725,"['hair_care', 'point_of_interest', 'establishment']"
Mana Jwl.,55.663678,12.603355,"['point_of_interest', 'establishment']"
Darlings & Muscles Cinematic Art Core I/S,55.6639379,12.6030995,"['point_of_interest', 'establishment']"
Fokusmæglerne,55.6645482,12.6042642,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']"
Halifax,55.663453,12.603792,"['restaurant', 'food', 'point_of_interest', 'establishment']"
penetrationtest.dk,55.6641407,12.6029556,"['point_of_interest', 'establishment']"
Frelsens Hær,55.6642624,12.6029443,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Garavano Holding ApS,55.6646771,12.6037347,"['point_of_interest', 'establishment']"
Boheme,55.6646194,12.6046245,"['cafe', 'food', 'point_of_interest', 'establishment']"
Kom Igang Nu,55.663692,12.602592,"['point_of_interest', 'establishment']"
SpiceYou,55.663692,12.602592,"['food', 'point_of_interest', 'store', 'establishment']"
Sportsmaster,55.66320349999999,12.6033741,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Peercraft,55.66363,12.605593,"['insurance_agency', 'point_of_interest', 'establishment']"
H&M (Women & Kids),55.6631244,12.6047394,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
MiniFin Aps,55.6631244,12.6047394,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Spejder Sport,55.6631244,12.6047394,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Paradis,55.6631244,12.6047394,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
Frisør Stender,55.6631244,12.6047394,"['hair_care', 'point_of_interest', 'establishment']"
Kamerahuset,55.6631244,12.6047394,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
Deichmann,55.6631244,12.6047394,"['shoe_store', 'point_of_interest', 'store', 'establishment']"
Amager Kort A.M.B.A.,55.6631081,12.6047435,"['store', 'point_of_interest', 'establishment']"
Helsemin A/S,55.6631081,12.6047435,"['food', 'health', 'point_of_interest', 'store', 'establishment']"
Royal Thai Massage and Wellness,55.6654668,12.6090024,"['point_of_interest', 'establishment']"
Guldhuset,55.6644215,12.6081562,"['bar', 'point_of_interest', 'establishment']"
Socialdemokratiet 4. Kreds Sundbyøster,55.663847,12.6064834,"['point_of_interest', 'establishment']"
Schwartz Håndværkerservice ApS,55.6648936,12.6078569,"['general_contractor', 'point_of_interest', 'establishment']"
Laur Holding ApS,55.664162,12.6062381,"['point_of_interest', 'establishment']"
Inst. Kastanien,55.665502,12.606752,"['point_of_interest', 'establishment']"
Liz Bramsen Editing,55.6646461,12.6057418,"['point_of_interest', 'establishment']"
Søstrene Grene,55.6631081,12.6047435,"['store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'establishment']"
Jacob Holms Minde,55.663551,12.606445,"['point_of_interest', 'establishment']"
Glad Sol,55.664969,12.6051749,"['art_gallery', 'point_of_interest', 'store', 'establishment']"
Frankrigsgade Svømmehal,55.6630806,12.6098424,"['point_of_interest', 'establishment']"
Skolen På Amagerbro,55.6635216,12.6096263,"['school', 'point_of_interest', 'establishment']"
Sydbank,55.6611197,12.604376,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']"
ADPS,55.6626799,12.6083716,"['point_of_interest', 'establishment']"
Hunkemöller,55.6617967,12.6035332,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Apostolsk Kirke,55.6618344,12.6047024,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Ejerforeningen Hollændervænget I II & Iv,55.6626813,12.6063702,"['point_of_interest', 'establishment']"
