,lat,lng
615,12.568,55.6859
617,12.5681,55.686
618,12.5749,55.7051
619,12.5748,55.7052
621,12.5741,55.7056
622,12.5725,55.7065
623,12.5723,55.7065
625,12.572,55.7067
626,12.5706,55.7075
627,12.5705,55.7076
630,12.4949,55.6888
633,12.4935,55.6885
634,12.4935,55.6884
635,12.4934,55.6884
636,12.493,55.6884
638,12.493,55.6883
639,12.4929,55.6883
643,12.4928,55.6882
644,12.4927,55.6882
645,12.4926,55.6882
648,12.4925,55.6882
650,12.4914,55.688
651,12.491,55.688
654,12.4909,55.688
655,12.49,55.6878
656,12.4973,55.6895
657,12.4963,55.6892
661,12.5642,55.6901
663,12.5654,55.6895
665,12.5512,55.6685
667,12.5512,55.6684
668,12.5513,55.6681
669,12.5513,55.6679
671,12.5514,55.6674
673,12.5514,55.6672
674,12.5515,55.6666
675,12.551,55.6698
676,12.551,55.6696
677,12.5511,55.6695
678,12.5512,55.6688
679,12.5512,55.6687
680,12.4815,55.6898
681,12.4815,55.6899
682,12.4814,55.6901
683,12.4812,55.6907
684,12.4811,55.691
685,12.4811,55.6911
687,12.4811,55.6912
688,12.5681,55.6861
689,12.5682,55.6861
691,12.5684,55.6863
694,12.5505,55.6725
695,12.5506,55.6724
696,12.5506,55.6719
697,12.5507,55.6716
698,12.4918,55.6855
699,12.4911,55.6854
700,12.4899,55.6851
701,12.4893,55.685
703,12.4891,55.6849
704,12.4883,55.6847
705,12.4882,55.6847
706,12.4881,55.6847
707,12.4875,55.6845
708,12.4873,55.6845
710,12.4864,55.6843
712,12.4862,55.6843
713,12.4857,55.6841
714,12.4855,55.6841
716,12.4852,55.684
717,12.4846,55.6839
719,12.4839,55.6837
720,12.4838,55.6837
721,12.4912,55.6888
722,12.4911,55.6888
723,12.4902,55.6889
724,12.4895,55.6888
729,12.4914,55.6894
730,12.4914,55.6893
731,12.4913,55.6891
732,12.4913,55.689
734,12.4912,55.6887
735,12.4911,55.6882
736,12.491,55.6882
738,12.4852,55.6889
739,12.4851,55.6889
741,12.4845,55.6899
744,12.4844,55.69
748,12.4844,55.6901
749,12.4842,55.6903
750,12.4841,55.6905
751,12.4839,55.6907
752,12.4835,55.6913
753,12.4834,55.6915
754,12.5515,55.6927
757,12.5524,55.6932
759,12.5525,55.6932
761,12.5526,55.6932
762,12.5526,55.6933
763,12.5532,55.6935
764,12.5531,55.6937
766,12.5535,55.694
767,12.5537,55.6941
768,12.5541,55.6943
770,12.5542,55.6944
772,12.5543,55.6944
774,12.5549,55.6947
775,12.555,55.6947
776,12.5551,55.6948
778,12.5552,55.6949
779,12.5558,55.6952
781,12.5562,55.6953
